,City,Latitude,Longitude,Humidity,Pressure,Wind Speed (Mph),Cloud Cover (%),Temperature (F)
447,taoudenni,22.68,-3.98,19,1014,9.6,2,84.2
448,oranjemund,-28.55,16.43,59,1018,7.47,65,61.0
449,nampula,-15.12,39.27,84,1018,2.44,97,70.66
450,kandrian,-6.22,149.55,69,1006,8.86,84,86.16
451,dikson,73.51,80.55,95,1018,15.84,100,22.77
452,mitsamiouli,-11.38,43.28,75,1015,11.43,92,81.3
453,shingu,33.73,135.98,73,1018,5.82,20,69.8
454,kamenka,51.32,42.77,62,1009,9.71,79,50.0
455,medea,36.26,2.75,93,1020,1.12,0,51.8
456,necochea,-38.55,-58.74,98,1021,1.99,28,48.99
457,behat,30.17,77.62,29,1011,9.37,0,89.82
458,isangel,-19.55,169.27,70,1010,16.11,75,84.2
459,russell,32.35,-85.2,93,1014,5.68,1,52.79
460,axim,4.87,-2.24,88,1012,4.88,19,79.75
461,togur,58.36,82.83,81,1005,13.49,99,45.16
462,ewa beach,21.32,-158.01,45,1017,17.22,40,80.28
463,praia da vitoria,38.73,-27.07,88,1010,26.28,75,66.2
464,nizhniy kuranakh,58.84,125.49,72,993,2.06,100,39.27
465,muravlenko,63.79,74.52,97,1008,15.95,100,30.09
466,bafra,41.57,35.91,93,1009,3.36,75,53.6
467,blagoyevo,63.37,47.92,94,1009,5.41,100,35.15
468,vagur,61.47,-6.81,87,998,9.95,100,44.28
469,amazar,53.86,120.88,28,992,11.3,9,62.64
470,radviliskis,55.82,23.53,80,1010,11.41,71,41.0
471,reconquista,-29.15,-59.65,75,1020,5.68,92,59.76
472,date,42.47,140.87,62,1010,0.72,91,55.69
473,abatskoye,56.29,70.46,54,1005,21.54,100,53.73
474,gilbues,-9.83,-45.34,78,1015,3.36,89,70.52
475,gaogou,34.02,119.19,49,1011,14.27,100,80.89
476,aksarka,66.56,67.8,96,1014,14.76,100,17.22
477,bandar-e lengeh,26.56,54.88,58,1007,4.7,30,82.4
478,ayan,56.45,138.17,96,1000,6.78,100,29.59
479,stornoway,58.21,-6.39,87,994,12.75,90,46.24
480,ivankiv,50.94,29.89,100,1009,6.71,36,44.6
481,chapleau,47.84,-83.4,83,1011,4.65,67,34.18
482,basse,52.55,9.51,87,999,10.29,45,48.09
483,panguna,-6.32,155.48,70,1005,1.68,96,79.38
484,svay rieng,11.09,105.8,47,1009,5.95,61,92.93
485,kindia,10.06,-12.87,78,1012,1.77,39,75.27
486,alice springs,-23.7,133.88,33,1022,14.99,0,62.6
487,rahden,52.43,8.62,81,1000,11.41,26,47.05
488,svetlaya,46.54,138.33,59,1004,12.26,4,52.3
489,abonnema,4.71,6.79,94,1012,4.5,20,75.2
490,pinsk,52.12,26.1,86,1012,6.85,91,39.2
491,pemangkat,1.17,108.97,66,1008,4.12,5,85.73
492,pisco,-13.7,-76.22,77,1013,10.29,17,67.55
493,yulara,-25.24,130.99,34,1023,14.99,48,64.4
494,talcahuano,-36.72,-73.12,100,1020,3.36,75,50.0
495,natal,-5.79,-35.21,94,1014,5.82,40,77.0
496,merauke,-8.47,140.33,82,1006,12.1,69,83.84
497,norsup,-16.07,167.38,70,1008,9.17,40,86.0
498,ossora,59.24,163.07,96,1012,3.33,1,31.91
499,saint-pierre,-21.34,55.48,73,1020,8.05,50,72.3
500,lykhivka,48.69,33.92,69,1010,8.81,1,53.51
501,vostok,46.49,135.88,25,1002,7.38,44,64.54
502,kupang,-10.17,123.58,49,1010,8.05,20,91.4
503,yeppoon,-23.13,150.73,34,1012,9.17,75,78.8
504,kieta,-6.22,155.63,68,1005,5.06,99,85.89
505,tual,-5.67,132.75,82,1008,14.72,100,80.96
506,guntakal,15.17,77.38,28,1012,7.05,97,94.57
507,korla,41.76,86.15,13,1010,13.94,100,81.66
508,jaguarari,-10.26,-40.2,77,1016,7.67,44,68.45
509,hay river,60.82,-115.8,92,1011,5.82,75,33.8
510,kapit,2.02,112.93,71,1008,0.78,42,87.71
511,lamu,-2.27,40.9,84,1014,9.53,100,79.83
512,makakilo city,21.35,-158.09,60,1018,12.75,75,79.92
513,zyryanka,65.75,150.85,93,1001,8.14,83,33.17
514,abu dhabi,24.47,54.37,40,1007,11.41,50,89.49
515,maryborough,-25.53,152.7,45,1009,5.99,1,73.0
516,kuching,1.55,110.33,63,1009,3.36,40,90.25
517,karratha,-20.74,116.85,17,1016,20.18,0,82.06
518,tautira,-17.73,-149.15,74,1011,5.82,86,84.09
519,shimoda,34.67,138.95,68,1015,20.8,20,72.32
520,ponta delgada,37.73,-25.67,93,1015,19.46,75,64.4
521,arandis,-22.42,14.97,23,1016,8.21,0,71.62
522,mandan,46.83,-100.89,55,1006,11.41,90,63.77
523,sugod,12.99,124.08,72,1011,9.64,66,83.89
524,blairmore,49.6,-114.44,57,1010,13.87,20,48.61
525,krasnoselkup,65.7,82.47,93,1016,18.25,21,28.98
526,koumac,-20.57,164.28,65,1011,3.36,81,82.02
527,caceres,39.52,-6.37,87,1021,5.01,74,55.99
528,lucapa,-8.42,20.74,68,1015,3.33,42,65.34
529,tiarei,-17.53,-149.33,74,1011,5.82,64,84.09
530,venado tuerto,-33.75,-61.97,76,1012,4.65,63,57.0
531,barcelos,41.54,-8.62,93,1019,10.29,90,58.53
532,houlton,46.13,-67.84,69,1023,8.05,20,38.37
533,manzanillo,20.34,-77.12,72,1016,3.94,23,77.27
534,achinsk,56.27,90.5,43,1011,19.42,6,53.46
535,vila velha,-20.33,-40.29,94,1017,2.24,83,70.97
536,ust-kuyga,70.02,135.6,92,1004,6.4,100,20.41
537,atambua,-9.11,124.89,51,1009,1.19,22,84.47
538,saint-francois,46.42,3.91,71,1009,8.05,99,50.0
539,maniitsoq,65.42,-52.9,91,1017,16.44,9,31.12
540,pameungpeuk,-7.02,107.6,47,1009,2.44,96,84.79
541,morant bay,17.88,-76.41,69,1015,12.75,20,78.04
542,tura,25.52,90.22,37,1010,1.86,0,89.24
543,paita,-5.09,-81.11,76,1014,7.61,0,71.69
544,guajara,-2.97,-57.67,97,1013,1.39,33,73.42
545,namatanai,-3.67,152.43,73,1006,2.95,64,84.4
546,maumere,-8.62,122.21,63,1009,1.7,0,84.9
547,dong hoi,17.48,106.6,74,1011,6.82,21,82.4
548,cockburn town,21.46,-71.14,82,1016,21.56,3,79.92
549,batagay,67.63,134.63,91,1003,4.36,100,24.37
550,koslan,63.46,48.9,92,1009,4.74,100,35.15
551,verkhnevilyuysk,63.45,120.32,87,1006,11.07,100,30.72
552,pafos,34.77,32.42,87,1012,2.24,75,58.55
553,kutum,14.2,24.67,17,1014,6.13,0,66.09
554,ucluelet,48.93,-125.55,87,1019,0.25,45,50.0
555,aykhal,66.0,111.5,67,1011,8.95,100,17.6
556,onega,63.91,38.14,95,1016,11.39,98,31.93
557,port-cartier,50.03,-66.87,93,1021,9.17,90,35.82
558,canora,51.63,-102.43,62,1003,11.41,1,57.2
559,prado,-17.34,-39.22,86,1017,1.03,14,73.58
560,banda aceh,5.56,95.32,63,1011,5.93,96,86.18
561,omboue,-1.57,9.26,93,1012,6.04,16,78.4
562,coolum beach,-26.53,153.1,36,1007,3.0,73,71.04
563,coihaique,-45.58,-72.07,86,1025,4.7,97,39.2
564,moose factory,51.26,-80.61,92,1009,6.69,1,28.4
565,liepaja,56.54,21.04,61,1006,8.05,100,50.0
566,klichka,50.45,118.0,22,998,21.0,0,65.46
567,kwinana,-32.25,115.77,41,1026,1.01,5,69.03
568,diamantino,-14.41,-56.45,66,1016,3.96,6,70.38
569,carauari,-4.88,-66.9,94,1014,1.5,100,74.48
570,matara,5.95,80.54,68,1012,8.46,18,87.17
571,victoria,22.29,114.16,69,1010,8.01,91,79.52
572,polunochnoye,60.87,60.42,82,1008,5.79,91,34.61
573,shaoguan,24.8,113.58,47,1012,5.86,54,85.19
